#gs	avg_shap	gid	gs2
H3C7	0.0029567619829037727	8968	H3C7
PCGF5	0.004874201205635759	84333	PCGF5
SPATA24	0.00587607910452385	202051	SPATA24
ATP6V0D2	0.0022093316407493712	245972	ATP6V0D2
ATM	0.00382809273380828	472	ATM
ATL1	0.012797741010453646	51062	ATL1
CCNQ	0.0013840199215752918	92002	CCNQ
NRP1	0.002303994799144267	8829	NRP1
OR9G4	4.4859916419349545e-06	283189	OR9G4
POMGNT1	0.0010191815984338024	55624	POMGNT1
CXCR1	0.0002541722421695129	3577	CXCR1
ZNF404	0.0031354534136661155	342908	ZNF404
DPEP3	0.0010698558865993918	64180	DPEP3
APP	0.006366774922018661	351	APP
IFT70B	0.0016971808645722265	150737	IFT70B
CDC34	0.0032162520113403243	997	CDC34
METTL21A	0.006800322623815481	151194	METTL21A
GAS2L3	0.0036138651819895245	283431	GAS2L3
FOXM1	0.003877767486126856	2305	FOXM1
HCRTR1	0.0003532918099868442	3061	HCRTR1
MYO1G	0.006702582557031397	64005	MYO1G
PAGE2	0.004354726719881573	203569	PAGE2
GRK6	0.005854751877425746	2870	GRK6
SNIP1	0.0021727728745994795	79753	SNIP1
FRMD4A	0.007712715712704599	55691	FRMD4A
ATP2B1	0.0057330414951007784	490	ATP2B1
IRX5	0.004856006488673481	10265	IRX5
CCL16	6.493579907606148e-05	6360	CCL16
NHLH2	0.0011922045391531038	4808	NHLH2
C7orf78	0.0006534786602406055	102725191	C7orf78
CCRL2	0.003184564391385562	9034	CCRL2
PRDM7	0.002413330625093913	11105	PRDM7
GNG12	0.01395180091070286	55970	GNG12
HS3ST4	0.0013763066717479187	9951	HS3ST4
MUC6	0.0011912868777227002	4588	MUC6
BCOR	0.00628521378096751	54880	BCOR
SLAMF9	0.0015340947922790318	89886	SLAMF9
TGFBRAP1	0.0015264231394775706	9392	TGFBRAP1
NCALD	0.0018923042956974485	83988	NCALD
PCDHA11	0.000926131994516853	56138	PCDHA11
PLEKHA5	0.0035275818252762793	54477	PLEKHA5
KRT36	0.0003355768763536497	8689	KRT36
RGS3	0.004055371464546576	5998	RGS3
ZNF668	0.001516374825148998	79759	ZNF668
PCSK6	0.004269624043160012	5046	PCSK6
ACP2	0.004294786779820103	53	ACP2
HNRNPR	0.004412868148448023	10236	HNRNPR
ASCC2	0.0018288799253186217	84164	ASCC2
MYBBP1A	0.0019990705821504567	10514	MYBBP1A
ANKRD65	0.00597680879227755	441869	ANKRD65
RCCD1	0.006889006416470361	91433	RCCD1
CDR2	0.009786946445851489	1039	CDR2
NOC4L	0.0030022705833498446	79050	NOC4L
PHACTR3	0.006357303996691653	116154	PHACTR3
MRPL24	0.007228387933452856	79590	MRPL24
RAB25	0.04300247906811606	57111	RAB25
PRSS38	0.00022884615805525286	339501	PRSS38
GLIPR1	0.0034844775075815026	11010	GLIPR1
ZDHHC8	0.00154074338489287	29801	ZDHHC8
CREBRF	0.0006965206207035646	153222	CREBRF
GCSAML	0.0011432410248452495	148823	GCSAML
RHOT2	0.002452016940002255	89941	RHOT2
ABHD15	0.005687646130145652	116236	ABHD15
FREM1	0.003463778184324414	158326	FREM1
NKAIN3	0.0005976808110692219	286183	NKAIN3
GEMIN7	0.007022092934276966	79760	GEMIN7
STING1	0.011968586363431047	340061	STING1
ZNF765	0.0012908498525703368	91661	ZNF765
PCDHGB2	0.0029937567026993646	56103	PCDHGB2
ASCC1	0.001200779377007315	51008	ASCC1
USF2	0.0030529658017042004	7392	USF2
MARCHF8	0.006416311965309176	220972	MARCHF8
MCRIP1	0.0056616575230251905	348262	MCRIP1
DCAF12L2	0.0011362010728576965	340578	DCAF12L2
TEX28	5.3331987066093074e-05	1527	TEX28
NDUFB7	0.006085207173849703	4713	NDUFB7
TICRR	0.005043935277849683	90381	TICRR
NDUFA12	0.002270173558834693	55967	NDUFA12
SCAMP1	0.0028752904542637884	9522	SCAMP1
C1orf226	0.0057909004149773605	400793	C1orf226
PRXL2A	0.018263767602390693	84293	PRXL2A
PLAC8L1	0.0014437191178422245	153770	PLAC8L1
CPHXL	0.00013451029961591962	105371346	CPHXL
LMNB2	0.0016018110634713006	84823	LMNB2
CDK9	0.002915191509339189	1025	CDK9
PYY	0.001557545639150382	5697	PYY
AURKC	0.0007848950007082765	6795	AURKC
MYO9A	0.0009627925521909813	4649	MYO9A
GLYR1	0.0006932419860149295	84656	GLYR1
DUSP16	0.0029814235526569445	80824	DUSP16
SPMIP7	0.00012337234575560284	100130988	SPMIP7
PRR5	0.003223757014887164	55615	PRR5
CFAP43	0.0009657091297184747	80217	CFAP43
SMC2	0.0010827271248996736	10592	SMC2
CDKN1C	0.0011817594517390373	1028	CDKN1C
THG1L	0.0027303653763448726	54974	THG1L
KEAP1	0.0029581646957319	9817	KEAP1
CNPY1	0.0007003014585544461	285888	CNPY1
USO1	0.0021006501006969446	8615	USO1
AP3S2	0.0045563571766041215	10239	AP3S2
TRH	0.0010863873191035705	7200	TRH
CERKL	0.0016910906435231613	375298	CERKL
FIGNL2	0.003178942395183028	401720	FIGNL2
KCTD12	0.007053904749827829	115207	KCTD12
MYD88	0.005978022331444297	4615	MYD88
CHST6	0.0052198956051501865	4166	CHST6
EIF2S3B	0.002736284198944661	255308	EIF2S3B
FAS	0.004585286820772262	355	FAS
PXK	0.0011393756475461291	54899	PXK
MS4A12	0.00013068249198039308	54860	MS4A12
HELLS	0.002651694895183863	3070	HELLS
STX17	0.0023425176148230936	55014	STX17
CLN3	0.0012830734305005827	1201	CLN3
MOCS3	0.0005275175965395918	27304	MOCS3
SEC14L6	0.002254759863982577	730005	SEC14L6
NBPF3	0.0027633808374171436	84224	NBPF3
TMPRSS3	0.012960515317799372	64699	TMPRSS3
FOXP4	0.00048562154502815297	116113	FOXP4
SIGLEC5	0.00030593366298721096	8778	SIGLEC5
ZNF804A	0.001419056652455501	91752	ZNF804A
NTM	0.005768780347437823	50863	NTM
CNMD	0.0008515562899228785	11061	CNMD
MPND	0.006116635332893568	84954	MPND
FAM98C	0.006085125350642938	147965	FAM98C
C15orf48	0.006668656414321064	84419	C15orf48
PCBP2	0.006622917575810219	5094	PCBP2
MTOR	0.0008958605510855431	2475	MTOR
NUDT16L1	0.00024549585947715414	84309	NUDT16L1
CLDN1	0.0024750412427280723	9076	CLDN1
PRODH2	0.00017840610227822117	58510	PRODH2
MEDAG	0.001002473505450028	84935	MEDAG
PPFIA1	0.0012475794710154035	8500	PPFIA1
ESX1	0.00020459171489870025	80712	ESX1
SHKBP1	0.0009042674878142833	92799	SHKBP1
VWA3B	0.0001636898043063965	200403	VWA3B
POLR2A	0.0013414529299727404	5430	POLR2A
TRIM16	0.004258807765163047	10626	TRIM16
LILRA6	0.00017903998135748836	79168	LILRA6
USP11	0.0028880940677465045	8237	USP11
PLD5	0.0026025254658623037	200150	PLD5
ANKRD6	0.004014478008323548	22881	ANKRD6
NFATC3	0.0030494628396205005	4775	NFATC3
ST8SIA1	0.0070818382427052995	6489	ST8SIA1
SLFN12	0.003528534553309962	55106	SLFN12
ACAP3	0.001062486877824741	116983	ACAP3
NR1H2	0.004103972072663618	7376	NR1H2
LSM5	0.001550765626368512	23658	LSM5
MIER3	0.0016326769521101741	166968	MIER3
LYSMD1	0.0006518779990677011	388695	LYSMD1
ENPP4	0.0033993649406066965	22875	ENPP4
GLRX2	0.0017677284955624794	51022	GLRX2
CCDC187	0.0013360910774415065	399693	CCDC187
GNA13	0.002615088677010663	10672	GNA13
PKD2L2	0.00015275472333353395	27039	PKD2L2
CBR4	0.0022218276021682176	84869	CBR4
RRAS	0.007750311362285883	6237	RRAS
HYCC2	0.005834532153761022	285172	HYCC2
STEEP1	0.0023299587928363066	63932	STEEP1
IL23R	0.0005173673603253407	149233	IL23R
LRPPRC	0.002044261286393294	10128	LRPPRC
ZBBX	0.001360890682366198	79740	ZBBX
ADAM20	0.00041126407370562347	8748	ADAM20
CCDC106	0.004084396112969628	29903	CCDC106
ATXN7L1	0.0013988616104231265	222255	ATXN7L1
EIF4E1B	0.0012204855526293703	253314	EIF4E1B
TAS2R19	0.0015805911195383834	259294	TAS2R19
RBMY1E	0.0006415778126311225	378950	RBMY1E
FUNDC1	0.007123614885118724	139341	FUNDC1
TRANK1	0.009608860813495433	9881	TRANK1
ELOVL4	0.010082315508917347	6785	ELOVL4
CYP4Z1	0.0017323284699926188	199974	CYP4Z1
DAZ1	0.0037267125734734095	1617	DAZ1
IL17D	0.01027993134911592	53342	IL17D
TPGS1	0.0067895664018825285	91978	TPGS1
BAD	0.0069644633517892355	572	BAD
DLX6	0.027712543461003228	1750	DLX6
TSTD2	0.0031680153924838585	158427	TSTD2
NOL6	0.001829966170774588	65083	NOL6
VSIG10L2	0.0003784517611479561	338667	VSIG10L2
THOP1	0.002323262360921679	7064	THOP1
FERMT3	0.005851835218628972	83706	FERMT3
TEKT2	0.002953472141573694	27285	TEKT2
ZNF724	0.004457033386337717	440519	ZNF724
EXT1	0.0055067381226742785	2131	EXT1
TMEM11	0.002485765159980164	8834	TMEM11
SBK2	0.004531933528733031	646643	SBK2
NMT1	0.0032427838905594595	4836	NMT1
PGAP6	0.004791949540489669	58986	PGAP6
GPR50	0.00045471866338722905	9248	GPR50
NECAP2	0.003487015221687821	55707	NECAP2
PDLIM5	0.005142338676450269	10611	PDLIM5
SULT1C4	0.005880099631134994	27233	SULT1C4
ZNF622	0.0034169121721126447	90441	ZNF622
SYT11	0.004720080944426373	23208	SYT11
SPTSSA	0.005310449972839775	171546	SPTSSA
FAM149A	0.017004374873800066	25854	FAM149A
RNASEH2A	0.004451681165913686	10535	RNASEH2A
ALDH6A1	0.0060310172033941995	4329	ALDH6A1
EXOSC2	0.0016548925297280945	23404	EXOSC2
SHOC1	0.0035205128033397237	158401	SHOC1
KRT35	0.00013409914079412844	3886	KRT35
C5orf63	0.012427218414484511	401207	C5orf63
ARHGAP6	0.0078113341814963575	395	ARHGAP6
LRRC52	0.0002760243151078112	440699	LRRC52
KMO	0.0036417762075259532	8564	KMO
TESK2	0.01271173451251407	10420	TESK2
CSTF1	0.00102492016377818	1477	CSTF1
OAS2	0.0029529479684775976	4939	OAS2
VIT	0.001680549746504813	5212	VIT
FCRL1	0.0005301458542186641	115350	FCRL1
PCDHGA11	0.0023617978810968436	56105	PCDHGA11
MAP2K6	0.003930834408358054	5608	MAP2K6
IL19	0.0008940772119063416	29949	IL19
GLUD1	0.001068209057225175	2746	GLUD1
OGFOD2	0.0010045715103242608	79676	OGFOD2
NCAPD3	0.0040841621879093275	23310	NCAPD3
FAM81B	0.0013003004135931106	153643	FAM81B
KCNAB1	0.0015204020256116236	7881	KCNAB1
PRKY	0.0030297029934944954	5616	PRKY
CFAP52	0.0007030643158759592	146845	CFAP52
GIPC3	0.00255077226293405	126326	GIPC3
RNF227	0.004582811842815968	284023	RNF227
PRH2	0.0007037873503731624	5555	PRH2
IL27	0.0002459347004833173	246778	IL27
LOC728392	0.003911379416123052	728392	-
ZIC1	0.03129235845171751	7545	ZIC1
COG4	0.030069464979599794	25839	COG4
ATP5MC3	0.009861861759731033	518	ATP5MC3
TXN	0.012061735313664505	7295	TXN
PTMS	0.025641852191914012	5763	PTMS
AFP	0.01950061736533088	174	AFP
HOXA13	0.03635663342730093	3209	HOXA13
IDH3G	0.016035622527269658	3421	IDH3G
CALCR	0.0030144760437606014	799	CALCR
F2RL2	0.05157472139554026	2151	F2RL2
GZMB	0.02564043395168478	3002	GZMB
ZNF594	0.0454307520326156	84622	ZNF594
NOMO2	0.025767266625504763	283820	NOMO2
ZNF335	0.01140508949695924	63925	ZNF335
PPIP5K1	0.00911845503225699	9677	PPIP5K1
SLC16A6	0.056590307289816844	9120	SLC16A6
LRRFIP2	0.03347482876928691	9209	LRRFIP2
MATN3	0.039417634645749884	4148	MATN3
GREB1	0.03129379729869929	9687	GREB1
FLCN	0.02947132218592129	201163	FLCN
BBOF1	0.08435311452770361	80127	BBOF1
ASB12	0.003755935571878377	142689	ASB12
PLA2G1B	0.0023832468698525753	5319	PLA2G1B
CNTNAP4	0.0036605482338206152	85445	CNTNAP4
MFSD9	0.0033750455828768277	84804	MFSD9
EIF5A	0.005221079688192486	1984	EIF5A
PDCD6IP	0.012474541735930461	10015	PDCD6IP
ZNF708	0.006014258252349918	7562	ZNF708
IL10	0.007672991705155078	3586	IL10
DEFA6	0.006951003395045285	1671	DEFA6
CABP1	0.023375501616795573	9478	CABP1
CASQ2	0.0030439944758467855	845	CASQ2
EIF4E3	0.006135747770508134	317649	EIF4E3
NDUFAF5	0.007895836361127805	79133	NDUFAF5
OR51E2	0.0034800238493749645	81285	OR51E2
C4orf50	0.0013308461213538691	389197	C4orf50
FBXO43	0.018395040607271113	286151	FBXO43
GOLGA8B	0.040550450822278296	440270	GOLGA8B
RAB14	0.007035186553552407	51552	RAB14
NCR1	0.0008847207019868109	9437	NCR1
MS4A6E	0.0014209894381956838	245802	MS4A6E
RPIA	0.0041870453187622505	22934	RPIA
RAET1E	0.004453326795904819	135250	RAET1E
TPD52L2	0.009191450411047181	7165	TPD52L2
SNX33	0.012988169237112945	257364	SNX33
LHX1	0.02393160798979586	3975	LHX1
MRAP2	0.006760730442948293	112609	MRAP2
PIK3R6	0.009876916515965716	146850	PIK3R6
CEP128	0.013046041922663062	145508	CEP128
SLC16A10	0.00953625175778935	117247	SLC16A10
ALDH3A2	0.03446809881572592	224	ALDH3A2
TMEM14A	0.004408915683382385	28978	TMEM14A
HMGCS2	0.003365773459136256	3158	HMGCS2
PIH1D1	0.001945566346503675	55011	PIH1D1
TAF4B	0.0068562373213934165	6875	TAF4B
ANK1	0.00571014525191898	286	ANK1
TRIM27	0.002853705789245637	5987	TRIM27
SHC2	0.009379033368089785	25759	SHC2
IFI6	0.005719879837599713	2537	IFI6
CLC	0.0006409728927414622	1178	CLC
LIPA	0.012927565812679741	3988	LIPA
CPLX4	0.0002470051325592248	339302	CPLX4
TRIM49B	0.0005563901875768461	283116	TRIM49B
GDF10	0.0012894341385244607	2662	GDF10
PXMP4	0.0076162606621141046	11264	PXMP4
RTP5	0.0012948799504134837	285093	RTP5
FSD1	0.026950334369163637	79187	FSD1
ARL6IP6	0.007593587851339973	151188	ARL6IP6
GCSH	0.002983075871967112	2653	GCSH
PRR18	0.0023124811451548225	285800	PRR18
BAK1	0.010800119792626357	578	BAK1
SPAG16	0.022197153703218214	79582	SPAG16
H3-4	0.0009589070632449848	8290	H3-4
ZNF480	0.006748450350409202	147657	ZNF480
DNAJB14	0.004752980156321281	79982	DNAJB14
CPSF2	0.00736327162944301	53981	CPSF2
STK26	0.046813540764200814	51765	STK26
MFSD13A	0.011287012849763167	79847	MFSD13A
ABCA3	0.009476887541728176	21	ABCA3
SOHLH2	0.014932255579344356	54937	SOHLH2
PIWIL1	0.006955417619674722	9271	PIWIL1
PRND	0.002193990934362031	23627	PRND
ACTRT1	5.0355382988426795e-05	139741	ACTRT1
OPLAH	0.006176738769209362	26873	OPLAH
ZFP69	0.0038286405042126043	339559	ZFP69
MPO	0.005313816209145438	4353	MPO
SLC12A7	0.01790547031952547	10723	SLC12A7
LGR6	0.011350075930348983	59352	LGR6
YJEFN3	0.008816086901623018	374887	YJEFN3
SMC4	0.003281459550941454	10051	SMC4
BRF2	0.01822911931963237	55290	BRF2
GEMIN8	0.0049614077830458835	54960	GEMIN8
NECAB3	0.008786779712777217	63941	NECAB3
SLC41A1	0.011791848257750367	254428	SLC41A1
TMEM86A	0.009024756191489115	144110	TMEM86A
RTL8B	0.03523814801393623	441518	RTL8B
DLL1	0.01375332671729226	28514	DLL1
KLHL12	0.010829787026380688	59349	KLHL12
NEDD8	0.008257387746443126	4738	NEDD8
SLC22A24	8.233281378941552e-05	283238	SLC22A24
ELP2	0.02006137023155046	55250	ELP2
DPY30	0.013184625064051369	84661	DPY30
GBA1	0.009565082980344029	2629	GBA1
TOX3	0.005590739671711062	27324	TOX3
SLC6A16	0.0027245532367587374	28968	SLC6A16
NAPSA	0.00951460990667865	9476	NAPSA
SNU13	0.011609367965749648	4809	SNU13
SON	0.0028835948712893304	6651	SON
DEFB119	0.00010527619744365766	245932	DEFB119
RBM45	0.007502893627345549	129831	RBM45
OR8A1	0.0013217581791145282	390275	OR8A1
SPANXD	0.007591975402804056	64648	SPANXD
ZNF385D	0.005949354819976667	79750	ZNF385D
CNTN6	0.001644223041112949	27255	CNTN6
SYNC	0.007625475521435449	81493	SYNC
ATCAY	0.005043290860398036	85300	ATCAY
IL13	0.0017933214801238257	3596	IL13
FCF1	0.006038593377584525	51077	FCF1
RPS15	0.004748119005723778	6209	RPS15
RPL15	0.0072304139810148785	6138	RPL15
ASAH2B	0.0154786077854059	653308	ASAH2B
CSPG5	0.0055007355492006065	10675	CSPG5
LSM7	0.0009561985390045335	51690	LSM7
SSPN	0.002294097720643995	8082	SSPN
SIAH2	0.0009128972906121027	6478	SIAH2
PROC	0.002897440973539595	5624	PROC
IRF2	0.0033146862131334747	3660	IRF2
FBXL22	0.002075211311955974	283807	FBXL22
OR9A4	0.00016852072116645557	130075	OR9A4
SLC7A8	0.005171194581605225	23428	SLC7A8
GPC1	0.027368467269173167	2817	GPC1
BRMS1L	0.004018582580145275	84312	BRMS1L
E2F8	0.002874313778976439	79733	E2F8
ATPSCKMT	0.004176115670325963	134145	ATPSCKMT
HOXD10	0.009749351236221223	3236	HOXD10
RCOR3	0.004012805131522827	55758	RCOR3
CYB5D1	0.004278479622734053	124637	CYB5D1
PCDHB13	0.006463354593880493	56123	PCDHB13
UGT2B15	0.0007246299998887696	7366	UGT2B15
ABHD17A	0.0024239435543312333	81926	ABHD17A
XG	0.00645980366470659	7499	XG
CCNB2	0.003302823847617817	9133	CCNB2
PLD6	0.0009308462449652471	201164	PLD6
BMP5	0.0009134181265884961	653	BMP5
SACM1L	0.0012499041817032666	22908	SACM1L
PEX26	0.0026110525350399936	55670	PEX26
MATN2	0.009263044095805114	4147	MATN2
HPS1	0.003354916601915155	3257	HPS1
GTF2H2	0.002352152036469476	2966	GTF2H2
PEX19	0.0013369274348245385	5824	PEX19
XRN2	0.007367774684135743	22803	XRN2
INSL5	0.0006248023370236303	10022	INSL5
POU3F1	0.0021371050627784155	5453	POU3F1
KDELR2	0.0032311918616860576	11014	KDELR2
CDC14B	0.00313271094983707	8555	CDC14B
S100Z	0.0031420908045213356	170591	S100Z
TERB1	0.00045702776468844206	283847	TERB1
FAM241A	0.005791086415365309	132720	FAM241A
BCAS1	0.005693410656566849	8537	BCAS1
GSTT4	9.91287912199356e-05	25774	GSTT4
LY6G6F-LY6G6D	0.0032528203522640986	110599563	LY6G6F-LY6G6D
CTSD	0.008470198227445425	1509	CTSD
LRTM2	0.00021114554765944897	654429	LRTM2
CHEK2	0.0016111564599599454	11200	CHEK2
GINS4	0.0014084581594572092	84296	GINS4
RBM47	0.006169332960442291	54502	RBM47
PDCD4	0.004849532958334714	27250	PDCD4
WNT2	0.0015662753133629725	7472	WNT2
GDF3	0.0007900189840109057	9573	GDF3
MCCD1	7.796513626873501e-05	401250	MCCD1
UBE2T	0.009070848108452958	29089	UBE2T
LCE3D	0.002346790811368696	84648	LCE3D
NES	0.010479132666828142	10763	NES
PIGG	0.0022275953954944624	54872	PIGG
PIGC	0.002090113849680598	5279	PIGC
PSMB11	5.246287879349406e-05	122706	PSMB11
ABHD16B	0.0018972846580291138	140701	ABHD16B
ANGEL1	0.007351294729429439	23357	ANGEL1
NWD2	0.00046383436976614256	57495	NWD2
BRF1	0.002138856737170909	2972	BRF1
KLK7	0.010114295454780984	5650	KLK7
TYRO3	0.010100008396931788	7301	TYRO3
PGK2	0.00025616096734848545	5232	PGK2
AREG	0.010973393040530549	374	AREG
DR1	0.004066097719930578	1810	DR1
SHISAL1	0.0047336693546261195	85352	SHISAL1
RGR	0.002105323231174114	5995	RGR
MATCAP1	0.008765678273981194	653319	MATCAP1
GJB7	0.002030468886764555	375519	GJB7
DMD	0.009890313623984473	1756	DMD
BRD3	0.008479572704479622	8019	BRD3
STAG1	0.004823498531570226	10274	STAG1
TRIM26	0.0009015539955652133	7726	TRIM26
GRSF1	0.0016290381434465014	2926	GRSF1
FAM53C	0.0029215311001239124	51307	FAM53C
C11orf91	0.0010015641633440507	100131378	C11orf91
PRDM6	0.002862884346269111	93166	PRDM6
FKBP15	0.003404848279752126	23307	FKBP15
ZCCHC18	0.004187744508929847	644353	ZCCHC18
HMBOX1	0.0026310977758159716	79618	HMBOX1
HNRNPH2	0.005387928837468528	3188	HNRNPH2
MMP28	0.0155990864512264	79148	MMP28
RPL31	0.005456618819845793	6160	RPL31
CFAP276	0.0009516888535397528	127003	CFAP276
GDPD1	0.003638703293112193	284161	GDPD1
RBP1	0.018150008314915467	5947	RBP1
OR3A3	0.00027366548675839463	8392	OR3A3
SLC25A23	0.0030386063790600946	79085	SLC25A23
FAM219A	0.004328000649048512	203259	FAM219A
VWC2L	0.00039358727806788625	402117	VWC2L
ZNF835	0.004865797266004839	90485	ZNF835
TNNT1	0.007711335045036628	7138	TNNT1
CYP4B1	0.0030493911210030403	1580	CYP4B1
RTN2	0.003077811913322671	6253	RTN2
CCL28	0.006478761295778074	56477	CCL28
PGAP3	0.003415121982704964	93210	PGAP3
ATP6V1G2	0.004859961821766841	534	ATP6V1G2
ZNF223	0.004538457792670956	7766	ZNF223
CHMP1A	0.0017378576045852317	5119	CHMP1A
SMN2	0.0038842382239416677	6607	SMN2
ZFP36L2	0.00997315639784097	678	ZFP36L2
TMEM106A	0.007456259119004747	113277	TMEM106A
FMO4	0.002337180740125913	2329	FMO4
H2AC16	0.0014659097776114254	8332	H2AC16
FAM227A	0.0009386404347315391	646851	FAM227A
S100A10	0.014608918047166696	6281	S100A10
KIF14	0.005430788597944569	9928	KIF14
ITGBL1	0.0053795083605718465	9358	ITGBL1
NEPRO	0.001526009255487877	25871	NEPRO
LEO1	0.0033374660919058986	123169	LEO1
AGBL5	0.00472841644682136	60509	AGBL5
RAB6C	0.001981640548366419	84084	RAB6C
EMP1	0.015693408867538613	2012	EMP1
IL17RC	0.0036952660454334595	84818	IL17RC
MBNL1	0.0014598253199018612	4154	MBNL1
CISD1	0.004962489560012586	55847	CISD1
HIPK4	0.0005534378834805814	147746	HIPK4
OR52E2	0.0005467076617558516	119678	OR52E2
IQCJ	0.0012315556368072851	654502	IQCJ
BRMS1	0.0031655842238700192	25855	BRMS1
GABARAPL2	0.025763004613911084	11345	GABARAPL2
SERPINA3	0.010540243041642342	12	SERPINA3
P2RY4	0.0005397713977071123	5030	P2RY4
HACD2	0.006641189699005621	201562	HACD2
STIMATE-MUSTN1	0.004012651429929144	100526772	STIMATE-MUSTN1
PSMG1	0.0059603330719101635	8624	PSMG1
ATP6V1A	0.007215590840175285	523	ATP6V1A
C8orf89	0.0008833501190967008	100130301	C8orf89
C1QA	0.00044918374130970185	712	C1QA
ESF1	0.002508184258334181	51575	ESF1
CYTIP	0.013276613535603126	9595	CYTIP
AGPAT2	0.0032913248345950974	10555	AGPAT2
CCR3	0.0022413626159973297	1232	CCR3
ZNF85	0.004874337024002229	7639	ZNF85
ASXL3	0.0019525878937766872	80816	ASXL3
HMG20A	0.0030765689656988156	10363	HMG20A
STBD1	0.005988517029736018	8987	STBD1
MMP16	0.006872580599432847	4325	MMP16
NEIL3	0.001867351789943967	55247	NEIL3
SYCP2L	0.002920543846004767	221711	SYCP2L
GPR137B	0.00861822720362245	7107	GPR137B
MKS1	0.004840994636368844	54903	MKS1
AP2S1	0.0015697753012277017	1175	AP2S1
MEIS2	0.004838139803855098	4212	MEIS2
CDC42SE1	0.0024307432554832656	56882	CDC42SE1
S100A9	0.014203152289260234	6280	S100A9
RPH3AL	0.007397015984178396	9501	RPH3AL
DCAF8L1	0.0006550024288223418	139425	DCAF8L1
SH3GLB2	0.0031742344406549177	56904	SH3GLB2
C2orf66	0.0031131995754210776	401027	C2orf66
PRR36	0.00867798642128292	80164	PRR36
MRPL17	0.003172140257142107	63875	MRPL17
ZNF134	0.002606827039499827	7693	ZNF134
MED30	0.0022533914733595577	90390	MED30
BBS9	0.0022154976196613	27241	BBS9
LENG1	0.0026152799695553517	79165	LENG1
THSD7A	0.0035220353629063818	221981	THSD7A
PDCL	0.0026440379114603257	5082	PDCL
ETNK1	0.0032932661816339488	55500	ETNK1
FAM3C	0.004628717287396068	10447	FAM3C
SPN	0.014399742568675735	6693	SPN
LPCAT2	0.009476207744307553	54947	LPCAT2
CYP11B1	2.056866526231439e-05	1584	CYP11B1
HNF1B	0.0024252555943349535	6928	HNF1B
TSGA13	7.330197333783506e-05	114960	TSGA13
PITX2	0.004972398574723289	5308	PITX2
DOP1B	0.0063428797908537	9980	DOP1B
ABHD14A	0.004883526109284294	25864	ABHD14A
EPO	0.0003025877346991571	2056	EPO
NIPA1	0.002926339223477183	123606	NIPA1
RGS14	0.01390087298140076	10636	RGS14
NLGN3	0.005980475699988979	54413	NLGN3
HAPLN1	0.006946344414432417	1404	HAPLN1
CCDC90B	0.0021059245376068617	60492	CCDC90B
EFCAB11	0.003428981163287512	90141	EFCAB11
FAM72B	0.005457215764425096	653820	FAM72B
DNAH8	0.0009325779268414202	1769	DNAH8
TNFSF14	0.0027213854137382765	8740	TNFSF14
RD3	0.0012383520184274272	343035	RD3
LRFN5	0.005827801097137176	145581	LRFN5
DSG3	0.014104809425260365	1830	DSG3
GGT1	0.013106580028162548	2678	GGT1
VAV3	0.008776409434757274	10451	VAV3
HIBCH	0.0023308213606439442	26275	HIBCH
MELK	0.00464791749592597	9833	MELK
USP17L18	4.691678952232848e-06	100287364	USP17L18
ZNF670	0.0053566399024376	93474	ZNF670
AK2	0.0036809474638347423	204	AK2
MYNN	0.002014689895176565	55892	MYNN
PIGF	0.003344546202963858	5281	PIGF
ITGB6	0.025439241946128833	3694	ITGB6
CAMLG	0.003046597979380734	819	CAMLG
NANOS3	0.0017286570494310356	342977	NANOS3
RTRAF	0.001716994652681972	51637	RTRAF
PPIAL4A	0.00018230689118787995	653505	PPIAL4A
STAT2	0.006696224174853969	6773	STAT2
CALCB	0.005144271126606027	797	CALCB
IL36B	0.0010981501417473309	27177	IL36B
SAE1	0.003972236974924728	10055	SAE1
NMRAL1	0.006856856644284573	57407	NMRAL1
FZD5	0.007932703283099038	7855	FZD5
HIGD2B	0.0006500168434974052	123346	HIGD2B
GEM	0.023734772375569462	2669	GEM
ZNF541	0.0023705842990875336	84215	ZNF541
SLC25A44	0.0021538489690483805	9673	SLC25A44
GPR157	0.016336482514763453	80045	GPR157
PFN2	0.029609721388973057	5217	PFN2
UCP3	0.003710106949720015	7352	UCP3
MCEMP1	0.0029749778512365562	199675	MCEMP1
RILPL2	0.012769097743904202	196383	RILPL2
VN1R1	0.007230403860907203	57191	VN1R1
CHDH	0.006302656745017624	55349	CHDH
BACE1	0.005175878540983563	23621	BACE1
TMEM167B	0.0016945561470254377	56900	TMEM167B
SNTN	0.00025131728376158615	132203	SNTN
IGF2BP2	0.013023632916395063	10644	IGF2BP2
MSRA	0.004832420171073285	4482	MSRA
KRT13	0.008146403162917242	3860	KRT13
PITPNA	0.001059182218280295	5306	PITPNA
SEZ6L	0.0023609867361342827	23544	SEZ6L
ERBB4	0.0036607369864356492	2066	ERBB4
KAT6B	0.014555719201549406	23522	KAT6B
CPS1	0.009516619543312356	1373	CPS1
LVRN	0.0021811227171639655	206338	LVRN
CCR10	0.004721046837025815	2826	CCR10
CACNG7	0.0036703171826992275	59284	CACNG7
FLNB	0.021755992172075505	2317	FLNB
HSPB6	0.027976205972937835	126393	HSPB6
SLC15A4	0.011630928420685568	121260	SLC15A4
CFAP97D1	0.00015261723375411984	284067	CFAP97D1
ATP5MC2	0.02586708901206987	517	ATP5MC2
